entry_id,BlockId,log_key,exec_flow,log_segment,single_log_label,block_log_label
1,26a3b790_1,26a3b790_1,ENTRY→ConditionCheck%%ENTRY→OtherBranch,[DEBUG]:Changing meta file offset of block 1024 from 2048 to 4096,normal,normal
2,9f4f21bf_1,9f4f21bf_1,ENTRY→ConditionCheck%%ENTRY→OtherBranch,[DEBUG]:Changing meta file offset of block 1024 from 4096 to 8192,normal,normal
3,cc7f52f8_1,cc7f52f8_1,ENTRY→ConditionCheck%%ENTRY→OtherBranch,[DEBUG]:Changing meta file offset of block 1024 from 2048 to 4096,normal,normal
4,f569c040_1,f569c040_1,ENTRY→ConditionCheck%%ENTRY→OtherBranch,[INFO]:Fetched 128MB block from namenode01,normal,explicit
5,f569c040_1,f569c040_1,ENTRY→ConditionCheck%%ENTRY→OtherBranch,[ERROR]:Access denied to path /user/test,explicit,explicit
6,b137939a_1,b137939a_1,ENTRY→ConditionCheck%%ENTRY→OtherBranch,[INFO]:Span object is not null,normal,normal
7,b137939a_1,b137939a_1,ENTRY→ConditionCheck%%ENTRY→OtherBranch,[INFO]:Closing resources,normal,normal
8,b137939a_1,b137939a_1,ENTRY→ConditionCheck%%ENTRY→OtherBranch,[INFO]:Exited execution path,normal,normal
9,24dbcb57_1,24dbcb57_1,ENTRY→TRY→CALL:readBlock→IF_TRUE:traceScope!=null→CALL:traceScope.close→IF_TRUE:span!=null→CALL:close→EXIT→EXIT%%ENTRY→TRY→CALL:readBlock→IF_FALSE:traceScope!=null→EXIT,[INFO]:Read block operation started,normal,normal
10,24dbcb57_1,24dbcb57_1,ENTRY→TRY→CALL:readBlock→IF_TRUE:traceScope!=null→CALL:traceScope.close→IF_TRUE:span!=null→CALL:close→EXIT→EXIT%%ENTRY→TRY→CALL:readBlock→IF_FALSE:traceScope!=null→EXIT,[INFO]:Trace scope is active,normal,normal
11,24dbcb57_1,24dbcb57_1,ENTRY→TRY→CALL:readBlock→IF_TRUE:traceScope!=null→CALL:traceScope.close→IF_TRUE:span!=null→CALL:close→EXIT→EXIT%%ENTRY→TRY→CALL:readBlock→IF_FALSE:traceScope!=null→EXIT,[INFO]:Trace scope closed,normal,normal
12,24dbcb57_1,24dbcb57_1,ENTRY→TRY→CALL:readBlock→IF_TRUE:traceScope!=null→CALL:traceScope.close→IF_TRUE:span!=null→CALL:close→EXIT→EXIT%%ENTRY→TRY→CALL:readBlock→IF_FALSE:traceScope!=null→EXIT,[INFO]:Span is active,normal,normal
13,24dbcb57_1,24dbcb57_1,ENTRY→TRY→CALL:readBlock→IF_TRUE:traceScope!=null→CALL:traceScope.close→IF_TRUE:span!=null→CALL:close→EXIT→EXIT%%ENTRY→TRY→CALL:readBlock→IF_FALSE:traceScope!=null→EXIT,[INFO]:Span closed,normal,normal
14,24dbcb57_1,24dbcb57_1,ENTRY→TRY→CALL:readBlock→IF_TRUE:traceScope!=null→CALL:traceScope.close→IF_TRUE:span!=null→CALL:close→EXIT→EXIT%%ENTRY→TRY→CALL:readBlock→IF_FALSE:traceScope!=null→EXIT,[INFO]:Read block operation completed,normal,normal
15,24dbcb57_2,24dbcb57_2,ENTRY→CALL:continueTraceSpan→CALL:getSpanContext→CALL:getTraceInfo→CALL:getSpanContext→CALL:getTraceInfo→RETURN→EXIT,[INFO]:Continuing trace span,normal,normal
16,24dbcb57_2,24dbcb57_2,ENTRY→CALL:continueTraceSpan→CALL:getSpanContext→CALL:getTraceInfo→CALL:getSpanContext→CALL:getTraceInfo→RETURN→EXIT,[INFO]:Retrieved span context,normal,normal
17,24dbcb57_2,24dbcb57_2,ENTRY→CALL:continueTraceSpan→CALL:getSpanContext→CALL:getTraceInfo→CALL:getSpanContext→CALL:getTraceInfo→RETURN→EXIT,[INFO]:Fetched trace information,normal,normal
18,24dbcb57_2,24dbcb57_2,ENTRY→CALL:continueTraceSpan→CALL:getSpanContext→CALL:getTraceInfo→CALL:getSpanContext→CALL:getTraceInfo→RETURN→EXIT,[INFO]:Retrieved span context,normal,normal
19,24dbcb57_2,24dbcb57_2,ENTRY→CALL:continueTraceSpan→CALL:getSpanContext→CALL:getTraceInfo→CALL:getSpanContext→CALL:getTraceInfo→RETURN→EXIT,[INFO]:Fetched trace information,normal,normal
20,24dbcb57_2,24dbcb57_2,ENTRY→CALL:continueTraceSpan→CALL:getSpanContext→CALL:getTraceInfo→CALL:getSpanContext→CALL:getTraceInfo→RETURN→EXIT,[INFO]:Trace span continued,normal,normal
21,82b133a2_1,82b133a2_1,ENTRY→TRY→CALL:writeBlock→IF_TRUE:traceScope!=null→CALL:continueTraceSpan→CALL:getSpanContext→CALL:getTraceInfo→RETURN→CALL:traceScope.close→IF_TRUE:span!=null→CALL:close→EXIT%%ENTRY→TRY→CALL:writeBlock→IF_FALSE:traceScope!=null→EXIT,[INFO]:Block write operation initiated,normal,normal
22,82b133a2_1,82b133a2_1,ENTRY→TRY→CALL:writeBlock→IF_TRUE:traceScope!=null→CALL:continueTraceSpan→CALL:getSpanContext→CALL:getTraceInfo→RETURN→CALL:traceScope.close→IF_TRUE:span!=null→CALL:close→EXIT%%ENTRY→TRY→CALL:writeBlock→IF_FALSE:traceScope!=null→EXIT,[INFO]:Trace scope is active,normal,normal
23,82b133a2_1,82b133a2_1,ENTRY→TRY→CALL:writeBlock→IF_TRUE:traceScope!=null→CALL:continueTraceSpan→CALL:getSpanContext→CALL:getTraceInfo→RETURN→CALL:traceScope.close→IF_TRUE:span!=null→CALL:close→EXIT%%ENTRY→TRY→CALL:writeBlock→IF_FALSE:traceScope!=null→EXIT,[INFO]:Continuing trace span,normal,normal
24,82b133a2_1,82b133a2_1,ENTRY→TRY→CALL:writeBlock→IF_TRUE:traceScope!=null→CALL:continueTraceSpan→CALL:getSpanContext→CALL:getTraceInfo→RETURN→CALL:traceScope.close→IF_TRUE:span!=null→CALL:close→EXIT%%ENTRY→TRY→CALL:writeBlock→IF_FALSE:traceScope!=null→EXIT,[INFO]:Fetching span context,normal,normal
25,82b133a2_1,82b133a2_1,ENTRY→TRY→CALL:writeBlock→IF_TRUE:traceScope!=null→CALL:continueTraceSpan→CALL:getSpanContext→CALL:getTraceInfo→RETURN→CALL:traceScope.close→IF_TRUE:span!=null→CALL:close→EXIT%%ENTRY→TRY→CALL:writeBlock→IF_FALSE:traceScope!=null→EXIT,[INFO]:Retrieving trace information,normal,normal
26,82b133a2_1,82b133a2_1,ENTRY→TRY→CALL:writeBlock→IF_TRUE:traceScope!=null→CALL:continueTraceSpan→CALL:getSpanContext→CALL:getTraceInfo→RETURN→CALL:traceScope.close→IF_TRUE:span!=null→CALL:close→EXIT%%ENTRY→TRY→CALL:writeBlock→IF_FALSE:traceScope!=null→EXIT,[INFO]:Closing trace scope,normal,normal
