LineId,Level,Content,EventId,EventTemplate,ParameterList
1,[INFO],Failed to get response.,ff8fd410,Failed to <*> <*>,['get response.']
2,[DEBUG],Getting groups for user + user,f8f1c498,Getting groups for user + user,[]
3,[DEBUG],Configuring job jar,e0cb7312,Configuring job jar,[]
4,[ERROR],The conf property DFS_NAMENODE_SHARED_EDITS_DIR_KEY is not set properly with correct journal node uri,f187ec54,The conf property DFS_NAMENODE_SHARED_EDITS_DIR_KEY is not <*> <*> with correct journal node <*>,"['set properly', 'uri']"
5,[INFO],Updating balance throttler bandwidth from ... to: ...,1e0d1804,Updating balance throttler bandwidth from ... to: ...,[]
6,[ERROR],Error rebuilding local cache for zkDelegationTokens,7a8ce548,Error rebuilding local cache for zkDelegationTokens,[]
7,[INFO],Will run the balancer even during an ongoing HDFS upgrade,f023cb3e,Will run the balancer even during an ongoing HDFS upgrade,[]
8,[DEBUG],STATE* Safe mode extension entered.,ba02a72b,STATE* Safe mode <*> <*>,['extension entered.']
9,[ERROR],Failed to parse options,ff8fd410,Failed to <*> <*>,['parse options']
10,[INFO],Logger debug executed,a93decf0,Logger debug executed,[]
11,[INFO],Step DELEGATION_TOKENS started,083eff8b,Step DELEGATION_TOKENS started,[]
12,[WARN],Storage directory is in use.,e0ed3eaf,Storage directory is in use.,[]
13,[TRACE],Address <*> is <*> local,5a81092f,Address <*> is <*> local,"['<*>', '<*>']"
14,[ERROR],"Unable to rename temp to previous for + sd.getRoot(), ioe",437b6a3b,"Unable to rename temp to previous for + sd.getRoot(), ioe",[]
15,[WARN],Failed to find datanode <*>,35d2b270,Failed to find datanode <*>,['<*>']
16,[INFO],Rollback aborted.,37e29f51,Rollback aborted.,[]
17,[DEBUG],Fetched token <*> for <*> into <*>,f91a25cd,Fetched token <*> for <*> into <*>,"['<*>', '<*>', '<*>']"
18,[WARN],Ending command processor service for: + this,90e7778c,Ending command processor service for: + this,[]
19,[ERROR],Invalid READDIRPLUS request,923caa85,Invalid <*> request,['READDIRPLUS']
20,[INFO],dn + <*> has utilization= + utilization + >= average= + average + but it is not specified as a source; skipping it.,a457e99e,dn + <*> has utilization= + utilization + >= average= + average + but it is not specified as a source; skipping it.,['<*>']
21,[WARN],Failed to cache + key + : failed to open file,0e584f63,Failed to cache + key + : failed to open file,[]
22,[WARN],"Failed to connect to dnInfo.addr for block block.getBlock(), e",177133e3,"Failed to connect to dnInfo.addr for block block.getBlock(), e",[]
23,[INFO],Read unlock issued for getNumberOfDatanodes,7a095764,Read unlock issued for getNumberOfDatanodes,[]
24,[INFO],removeDirective of + id + successful.,46c39e2a,removeDirective of + id + successful.,[]
25,[INFO],Datanode storage report obtained,ebdadb17,Datanode storage report obtained,[]
26,[DEBUG],Executing remove method with record class and query,61986573,Executing remove method with record class and query,[]
27,[INFO],Do not start Router RPC metrics,24b63482,Do not start Router RPC metrics,[]
28,[DEBUG],"Set quota for path: nsId: <*>, dest: <*>.",81fea9df,"Set quota for path: nsId: <*>, dest: <*>.","['<*>', '<*>']"
29,[TRACE],Reading empty packet at end of read,77763275,Reading empty packet at end of read,[]
30,[INFO],Loading InMemoryAliasMapReader for block pool id <*>,8abd5679,Loading <*> for block pool id <*>,"['InMemoryAliasMapReader', '<*>']"
31,[ERROR],Incompatible build versions: active name-node BV = <*>; backup node BV = <*>,dd3aa307,Incompatible build versions: active name-node BV = <*>; backup node BV = <*>,"['<*>', '<*>']"
32,[INFO],Read block from sender,347af686,Read block from <*>,['sender']
33,[ERROR],Error while syncing,8407acab,Error while syncing,[]
34,[INFO],Given mode: <*> is invalid,ab05aaad,Given mode: <*> is invalid,['<*>']
35,[DEBUG],Truncating file starting with recordModification,ca8ce420,Truncating file starting with recordModification,[]
36,[DEBUG],DIR* NameSystem.mkdirs: src,209466ec,DIR* NameSystem.mkdirs: src,[]
37,[DEBUG],"Unable to de-serialize block token identifier for user=<*>, block=<*>, access mode=<*>",d16c4934,Unable to de-serialize block token identifier for <*> <*> access <*>,"['user=<*>, block=<*>,', 'mode=<*>']"
38,[DEBUG],Router heartbeat for router <*>,c5fc8a5b,Router heartbeat for router <*>,['<*>']
39,[ERROR],Cannot get disabled name services,faae75fe,Cannot get disabled name services,[]
40,[WARN],Removing non-existent lease! holder=<*> src=<*>,39392823,Removing non-existent lease! holder=<*> src=<*>,"['<*>', '<*>']"
41,[INFO],"Zone <*>(<*>) is submitted for re-encryption., zoneName, inode.getId()",11422222,"Zone <*>(<*>) is submitted for re-encryption., zoneName, inode.getId()",['<*>(<*>']
42,[ERROR],Cannot parse JMX output for <*> from server <*>: <*>,a76c1f57,Cannot parse JMX output for <*> from server <*>: <*>,"['<*>', '<*>', '<*>']"
43,[INFO],Periodic Directory Tree Verification scan starting in <*>ms with interval of <*>ms and throttle limit of <*>ms/s,d2dc9ed6,Periodic Directory Tree Verification scan starting in <*>ms with interval of <*>ms and throttle limit of <*>ms/s,"['<*>', '<*>', '<*>']"
44,[ERROR],RedundancyMonitor thread received Runtime exception.,7096e530,RedundancyMonitor thread received Runtime exception.,[]
45,[DEBUG],Cannot get remote user: <*>,c71e0ec9,Cannot get remote user: <*>,['<*>']
46,[ERROR],There are <*> duplicate block entries within the same volume.,324f6399,There are <*> duplicate block entries within the same volume.,['<*>']
47,[TRACE],"Logging enabled, fetching clients string",3ea9cb1f,"Logging enabled, fetching clients string",[]
48,[ERROR],Already have a scanner for volume <*>.,4317830d,Already have a scanner for volume <*>.,['<*>']
49,[INFO],<*> failed.,fd055576,<*> failed.,['<*>']
50,[ERROR],<*> must be greater than zero. Defaulting to <*>,74420163,<*> must be greater than zero. Defaulting to <*>,"['<*>', '<*>']"
51,[WARN],Failed to save replica <*>. re-enqueueing it.,97b67719,Failed to save replica <*>. re-enqueueing it.,['<*>']
52,[DEBUG],original failed streamers: ...,9b9dba30,original failed streamers: ...,[]
53,[INFO],Calling process first blk report from storage: <*>,4a36b0de,Calling process first blk report from storage: <*>,['<*>']
54,[TRACE],"read(arr.length=<*>, off=<*>, len=<*>, filename=<*>, block=<*>, canSkipChecksum=<*>): starting",52c535b5,"read(arr.length=<*>, off=<*>, len=<*>, filename=<*>, block=<*>, canSkipChecksum=<*>): starting","['<*>', '<*>', '<*>', '<*>', '<*>', '<*>']"
55,[INFO],BLOCK* allocate ... for ...,3c697603,BLOCK* allocate ... for ...,[]
56,[DEBUG],DIR* FSDirectory.unprotectedRenameTo: src is renamed to dst,5b049880,DIR* FSDirectory.unprotectedRenameTo: src is renamed to dst,[]
57,[TRACE],Starting VolumeScanner <*>,269c173e,Starting VolumeScanner <*>,['<*>']
58,[WARN],Unknown DatanodeCommand action: <*> from standby NN <*>,83e28e26,Unknown DatanodeCommand action: <*> from standby NN <*>,"['<*>', '<*>']"
