EventId,EventTemplate,Occurrences
ff8fd410,Failed to <*> <*>,9
f8f1c498,Getting groups for user + user,1
e0cb7312,Configuring job jar,2
f187ec54,The conf property DFS_NAMENODE_SHARED_EDITS_DIR_KEY is not <*> <*> with correct journal node <*>,2
1e0d1804,Updating balance throttler bandwidth from ... to: ...,1
7a8ce548,Error rebuilding local cache for zkDelegationTokens,1
f023cb3e,Will run the balancer even during an ongoing HDFS upgrade,1
ba02a72b,STATE* Safe mode <*> <*>,2
a93decf0,Logger debug executed,1
083eff8b,Step DELEGATION_TOKENS started,1
e0ed3eaf,Storage directory is in use.,1
5a81092f,Address <*> is <*> local,1
437b6a3b,"Unable to rename temp to previous for + sd.getRoot(), ioe",1
35d2b270,Failed to find datanode <*>,1
37e29f51,Rollback aborted.,1
f91a25cd,Fetched token <*> for <*> into <*>,1
90e7778c,Ending command processor service for: + this,1
923caa85,Invalid <*> request,8
a457e99e,dn + <*> has utilization= + utilization + >= average= + average + but it is not specified as a source; skipping it.,1
0e584f63,Failed to cache + key + : failed to open file,1
177133e3,"Failed to connect to dnInfo.addr for block block.getBlock(), e",1
7a095764,Read unlock issued for getNumberOfDatanodes,1
46c39e2a,removeDirective of + id + successful.,1
ebdadb17,Datanode storage report obtained,1
61986573,Executing remove method with record class and query,1
24b63482,Do not start Router RPC metrics,1
81fea9df,"Set quota for path: nsId: <*>, dest: <*>.",1
77763275,Reading empty packet at end of read,1
8abd5679,Loading <*> for block pool id <*>,2
dd3aa307,Incompatible build versions: active name-node BV = <*>; backup node BV = <*>,1
347af686,Read block from <*>,2
8407acab,Error while syncing,1
ab05aaad,Given mode: <*> is invalid,2
ca8ce420,Truncating file starting with recordModification,1
209466ec,DIR* NameSystem.mkdirs: src,1
d16c4934,Unable to de-serialize block token identifier for <*> <*> access <*>,2
c5fc8a5b,Router heartbeat for router <*>,1
faae75fe,Cannot get disabled name services,1
39392823,Removing non-existent lease! holder=<*> src=<*>,1
11422222,"Zone <*>(<*>) is submitted for re-encryption., zoneName, inode.getId()",1
a76c1f57,Cannot parse JMX output for <*> from server <*>: <*>,1
d2dc9ed6,Periodic Directory Tree Verification scan starting in <*>ms with interval of <*>ms and throttle limit of <*>ms/s,1
7096e530,RedundancyMonitor thread received Runtime exception.,1
c71e0ec9,Cannot get remote user: <*>,2
324f6399,There are <*> duplicate block entries within the same volume.,1
3ea9cb1f,"Logging enabled, fetching clients string",1
4317830d,Already have a scanner for volume <*>.,1
fd055576,<*> failed.,1
74420163,<*> must be greater than zero. Defaulting to <*>,1
97b67719,Failed to save replica <*>. re-enqueueing it.,1
9b9dba30,original failed streamers: ...,1
4a36b0de,Calling process first blk report from storage: <*>,1
52c535b5,"read(arr.length=<*>, off=<*>, len=<*>, filename=<*>, block=<*>, canSkipChecksum=<*>): starting",1
3c697603,BLOCK* allocate ... for ...,1
5b049880,DIR* FSDirectory.unprotectedRenameTo: src is renamed to dst,1
269c173e,Starting VolumeScanner <*>,1
83e28e26,Unknown DatanodeCommand action: <*> from standby NN <*>,1
cff8bbe9,"this + "": allocAndRegisterSlot "" + idx + "": allocatedSlots="" + allocatedSlots + StringUtils.getStackTrace(Thread.currentThread())",1
4396168c,Cannot get listing from <*>,1
e4773cc2,Creating <*>,5
3647a45d,idlest stream's idle time:,1
28588c2d,Path <*> is not shared.,1
5692a8a6,Rolling forward previously half-completed synchronization: + tmp + -> + dst + ; journal id: + journalId,1
3470c2b1,Initializing StorageLocationChecker,1
