LineId,Level,Content,EventId,EventTemplate,ParameterList,BlockId
1,[DEBUG],Sorting located striped block,70586228,Sorting located striped block,[],3cb580c5_1
2,[DEBUG],Sorting located block,a9be8205,Sorting located block,[],3cb580c5_1
1,[WARN],Encountered exception loading fsimage,2a38b58c,Encountered exception loading fsimage,[],b1291aca_1
2,[INFO],Finished loading FSImage in 250 msecs,40c57c46,Finished loading FSImage in <*> msecs,['250'],b1291aca_1
1,[INFO],Refresh super user groups configuration successful for namenode01:8020,965a0b7a,Refresh super user groups configuration <*> for namenode<*>:<*>,"['successful', '01:8020']",76bb94b3_1
2,[ERROR],Refresh super user groups configuration failed for namenode02:8020,965a0b7a,Refresh super user groups configuration <*> for namenode<*>:<*>,"['failed', '02:8020']",76bb94b3_1
3,[INFO],Refresh super user groups configuration successful,93eef8a5,Refresh super user groups configuration successful,[],76bb94b3_1
4,[DEBUG],Refresh superuser groups configuration in Router,856fd2e9,Refresh superuser groups configuration in Router,[],76bb94b3_1
5,[DEBUG],"Proxying operation: refreshSuperUserGroupsConfiguration, refreshSuperUserGroupsConfiguration",6ddf6340,"Proxying operation: refreshSuperUserGroupsConfiguration, refreshSuperUserGroupsConfiguration",[],76bb94b3_1
1,[INFO],Operation check performed,f49fd396,Operation check performed,[],ab55b561_1
2,[DEBUG],Acquired locations for path /user/data,37944efc,Acquired locations for path <*>,['/user/data'],ab55b561_1
3,[DEBUG],Concurrent invocation initiated,f67b9ba6,Concurrent invocation initiated,[],ab55b561_1
4,[DEBUG],Sequential invocation initiated,526562d9,Sequential invocation initiated,[],ab55b561_1
1,[ERROR],No shared edits directory configured for namespace ns-01 namenode namenode01,b82e8473,No shared edits directory configured for namespace ns-<*> namenode namenode<*>,"['01', '01']",4353ed8c_1
2,[ERROR],Could not initialize shared edits dir,fccc1169,Could not initialize shared edits dir,[],4353ed8c_1
1,[INFO],Fetched 128MB block from namenode01,39521d5a,Fetched <*>MB block from namenode<*>,"['128', '01']",4cc2085e_1
2,[ERROR],Access denied to path /user/test,658cc3ae,Access denied to path <*>,['/user/test'],4cc2085e_1
1,[DEBUG],Getting groups for user hadoop_user,8e17a9ad,Getting groups for user hadoop_user,[],75831eaf_1
1,[WARN],Failed to delete block file /user/data/block_01,4936c250,Failed to delete <*> file <*><*>,"['block', '/user/data/block_01']",cf93da15_1
2,[WARN],Failed to delete meta file /user/data/meta_01,4936c250,Failed to delete <*> file <*><*>,"['meta', '/user/data/meta_01']",cf93da15_1
3,[WARN],Failed to delete block file /user/data/block_02,4936c250,Failed to delete <*> file <*><*>,"['block', '/user/data/block_02']",cf93da15_1
4,[WARN],Failed to delete meta file /user/data/meta_02,4936c250,Failed to delete <*> file <*><*>,"['meta', '/user/data/meta_02']",cf93da15_1
1,[INFO],Rename operation succeeded for path /user/data,8903b78b,Rename operation succeeded for path <*>,['/user/data'],1199ea8e_1
2,[INFO],Rename operation completed successfully on namenode01,b36449a0,Rename operation completed successfully on namenode<*>,['01'],1199ea8e_1
1,[INFO],Stopping HTTP server on port 50070,f8c709ad,Stopping HTTP server on port <*>,['50070'],b1085c16_1
2,[INFO],HTTP server stopped successfully,ef70e567,HTTP server stopped successfully,[],b1085c16_1
