entry_id,BlockId,log_key,exec_flow,log_segment,single_log_label,block_log_label
1,d80bcb62_1,d80bcb62_1,ENTRY→ConditionCheck%%ENTRY→OtherBranch,[INFO]:Connection marked as stale,normal,both
2,d80bcb62_1,d80bcb62_1,ENTRY→ConditionCheck%%ENTRY→OtherBranch,[DEBUG]:Ignoring exception during selection key cancel,normal,both
3,d80bcb62_1,d80bcb62_1,ENTRY→ConditionCheck%%ENTRY→OtherBranch,[ERROR]:Failed to cancel selection key,both,both
4,d80bcb62_1,d80bcb62_1,ENTRY→ConditionCheck%%ENTRY→OtherBranch,[INFO]:Socket closed successfully,normal,both
5,2a051a71_1,2a051a71_1,ENTRY→TRY→IF: !isSocketOpen()→IF: k.isReadable()→IF: rc < 0→TRY→CATCH: EndOfStreamException e→IF: incomingBuffer.remaining() == 0→IF: k.isWritable()→CATCH: CancelledKeyException e→CATCH: EndOfStreamException e→CATCH: ClientCnxnLimitException e→CATCH: IOException e→EXIT%%ENTRY→close→ENTRY,[WARN]:trying to do i/o on a null socket for session: 0x1A2B3C4D,explicit,explicit
6,2a051a71_1,2a051a71_1,ENTRY→TRY→IF: !isSocketOpen()→IF: k.isReadable()→IF: rc < 0→TRY→CATCH: EndOfStreamException e→IF: incomingBuffer.remaining() == 0→IF: k.isWritable()→CATCH: CancelledKeyException e→CATCH: EndOfStreamException e→CATCH: ClientCnxnLimitException e→CATCH: IOException e→EXIT%%ENTRY→close→ENTRY,[INFO]:End of stream reached,explicit,explicit
7,2a051a71_1,2a051a71_1,ENTRY→TRY→IF: !isSocketOpen()→IF: k.isReadable()→IF: rc < 0→TRY→CATCH: EndOfStreamException e→IF: incomingBuffer.remaining() == 0→IF: k.isWritable()→CATCH: CancelledKeyException e→CATCH: EndOfStreamException e→CATCH: ClientCnxnLimitException e→CATCH: IOException e→EXIT%%ENTRY→close→ENTRY,[WARN]:CancelledKeyException causing close of session: 0x1A2B3C4D,explicit,explicit
8,2a051a71_1,2a051a71_1,ENTRY→TRY→IF: !isSocketOpen()→IF: k.isReadable()→IF: rc < 0→TRY→CATCH: EndOfStreamException e→IF: incomingBuffer.remaining() == 0→IF: k.isWritable()→CATCH: CancelledKeyException e→CATCH: EndOfStreamException e→CATCH: ClientCnxnLimitException e→CATCH: IOException e→EXIT%%ENTRY→close→ENTRY,[DEBUG]:CancelledKeyException stack trace,explicit,explicit
9,2a051a71_1,2a051a71_1,ENTRY→TRY→IF: !isSocketOpen()→IF: k.isReadable()→IF: rc < 0→TRY→CATCH: EndOfStreamException e→IF: incomingBuffer.remaining() == 0→IF: k.isWritable()→CATCH: CancelledKeyException e→CATCH: EndOfStreamException e→CATCH: ClientCnxnLimitException e→CATCH: IOException e→EXIT%%ENTRY→close→ENTRY,[WARN]:Unexpected exception,explicit,explicit
10,2a051a71_1,2a051a71_1,ENTRY→TRY→IF: !isSocketOpen()→IF: k.isReadable()→IF: rc < 0→TRY→CATCH: EndOfStreamException e→IF: incomingBuffer.remaining() == 0→IF: k.isWritable()→CATCH: CancelledKeyException e→CATCH: EndOfStreamException e→CATCH: ClientCnxnLimitException e→CATCH: IOException e→EXIT%%ENTRY→close→ENTRY,[WARN]:Closing session 0x1A2B3C4D,explicit,explicit
11,2a051a71_1,2a051a71_1,ENTRY→TRY→IF: !isSocketOpen()→IF: k.isReadable()→IF: rc < 0→TRY→CATCH: EndOfStreamException e→IF: incomingBuffer.remaining() == 0→IF: k.isWritable()→CATCH: CancelledKeyException e→CATCH: EndOfStreamException e→CATCH: ClientCnxnLimitException e→CATCH: IOException e→EXIT%%ENTRY→close→ENTRY,[WARN]:Close of session 0x1A2B3C4D,explicit,explicit
12,2a051a71_1,2a051a71_1,ENTRY→TRY→IF: !isSocketOpen()→IF: k.isReadable()→IF: rc < 0→TRY→CATCH: EndOfStreamException e→IF: incomingBuffer.remaining() == 0→IF: k.isWritable()→CATCH: CancelledKeyException e→CATCH: EndOfStreamException e→CATCH: ClientCnxnLimitException e→CATCH: IOException e→EXIT%%ENTRY→close→ENTRY,[DEBUG]:ignoring exception during selectionkey cancel,explicit,explicit
13,5c6c4b56_1,5c6c4b56_1,ENTRY→ConditionCheck%%ENTRY→OtherBranch,[DEBUG]:Ignoring exception during selectionkey cancel,normal,normal
14,6d9d2f84_1,6d9d2f84_1,ENTRY→FOREACH:cnxns→ENTRY→CALL:setStale→IF_TRUE:!factory.removeCnxn(this)→RETURN→EXIT→FOREACH_EXIT→EXIT%%ENTRY→FOREACH:cnxns→ENTRY→CALL:setStale→IF_FALSE:!factory.removeCnxn(this)→IF_TRUE:zkServer!=null→CALL:zkServer.removeCnxn→IF_TRUE:sk!=null→TRY→CALL:cancel→EXCEPTION:cancel→CATCH:Exception→LOG:ignoring exception during selectionkey cancel→CALL:closeSock→EXIT→FOREACH_EXIT→EXIT%%ENTRY→FOREACH:cnxns→ENTRY→CALL:setStale→IF_FALSE:!factory.removeCnxn(this)→IF_TRUE:zkServer!=null→CALL:zkServer.removeCnxn→IF_FALSE:sk!=null→CALL:closeSock→EXIT→FOREACH_EXIT→EXIT,[DEBUG]:Ignoring exception during selectionkey cancel,explicit,explicit
15,70e11b2c_1,70e11b2c_1,ENTRY→ConditionCheck%%ENTRY→OtherBranch,[INFO]:Fetched 128MB block from namenode01,normal,explicit
16,70e11b2c_1,70e11b2c_1,ENTRY→ConditionCheck%%ENTRY→OtherBranch,[ERROR]:Access denied to path /user/test,explicit,explicit
17,fd71111f_1,fd71111f_1,ENTRY→ConditionCheck%%ENTRY→OtherBranch,[ERROR]:Could not configure server because SASL configuration did not allow the ZooKeeper server to authenticate itself properly: SecurityException occurred,explicit,explicit
18,fd71111f_1,fd71111f_1,ENTRY→ConditionCheck%%ENTRY→OtherBranch,[INFO]:Login user set successfully,normal,explicit
19,1d5e10a3_1,1d5e10a3_1,ENTRY→ConditionCheck%%ENTRY→OtherBranch,[ERROR]:Could not configure server because SASL configuration did not allow the ZooKeeper server to authenticate itself properly: securityException,explicit,explicit
