LineId,Level,Content,EventId,EventTemplate,ParameterList,BlockId
1,[INFO],Connection marked as stale,d36e62bb,Connection marked as stale,[],d80bcb62_1
2,[DEBUG],Ignoring exception during selection key cancel,9f204976,Ignoring exception during selection key cancel,[],d80bcb62_1
3,[ERROR],Failed to cancel selection key,f2996104,Failed to cancel selection key,[],d80bcb62_1
4,[INFO],Socket closed successfully,2b9c069b,Socket closed successfully,[],d80bcb62_1
1,[WARN],trying to do i/o on a null socket for session: 0x1A2B3C4D,fd8c9024,trying to do i<*> on a null socket for session: <*>x<*>A<*>B<*>C<*>D,"['/o', '0x1', '2B3', '4']",2a051a71_1
2,[INFO],End of stream reached,d33b9afa,End of stream reached,[],2a051a71_1
3,[WARN],CancelledKeyException causing close of session: 0x1A2B3C4D,44342189,CancelledKeyException causing close of session: <*>x<*>A<*>B<*>C<*>D,"['0x1', '2B3', '4']",2a051a71_1
4,[DEBUG],CancelledKeyException stack trace,dfab07dc,CancelledKeyException stack trace,[],2a051a71_1
5,[WARN],Unexpected exception,d66d276c,Unexpected exception,[],2a051a71_1
6,[WARN],Closing session 0x1A2B3C4D,cee2328f,Closing session <*>x<*>A<*>B<*>C<*>D,"['0x1', '2B3', '4']",2a051a71_1
7,[WARN],Close of session 0x1A2B3C4D,c3ef453e,Close of session <*>x<*>A<*>B<*>C<*>D,"['0x1', '2B3', '4']",2a051a71_1
8,[DEBUG],ignoring exception during selectionkey cancel,f96cce3f,ignoring exception during selectionkey cancel,[],2a051a71_1
1,[DEBUG],Ignoring exception during selectionkey cancel,5e464cd0,Ignoring exception during selectionkey cancel,[],5c6c4b56_1
1,[DEBUG],Ignoring exception during selectionkey cancel,5e464cd0,Ignoring exception during selectionkey cancel,[],6d9d2f84_1
1,[INFO],Fetched 128MB block from namenode01,39521d5a,Fetched <*>MB block from namenode<*>,"['128', '01']",70e11b2c_1
2,[ERROR],Access denied to path /user/test,658cc3ae,Access denied to path <*>,['/user/test'],70e11b2c_1
1,[ERROR],Could not configure server because SASL configuration did not allow the ZooKeeper server to authenticate itself properly: SecurityException occurred,fc19e375,Could not configure server because SASL configuration did not allow the ZooKeeper server to authenticate itself properly: SecurityException occurred,[],fd71111f_1
2,[INFO],Login user set successfully,7fe3ee7b,Login user set successfully,[],fd71111f_1
1,[ERROR],Could not configure server because SASL configuration did not allow the ZooKeeper server to authenticate itself properly: securityException,7a3a0ea5,Could not configure server because SASL configuration did not allow the ZooKeeper server to authenticate itself properly: securityException,[],1d5e10a3_1
2,[ERROR],Could not configure server because SASL configuration did not allow the ZooKeeper server to authenticate itself properly: securityException,7a3a0ea5,Could not configure server because SASL configuration did not allow the ZooKeeper server to authenticate itself properly: securityException,[],1d5e10a3_1
3,[ERROR],Could not configure server because SASL configuration did not allow the ZooKeeper server to authenticate itself properly: securityException,7a3a0ea5,Could not configure server because SASL configuration did not allow the ZooKeeper server to authenticate itself properly: securityException,[],1d5e10a3_1
4,[ERROR],Could not configure server because SASL configuration did not allow the ZooKeeper server to authenticate itself properly: securityException,7a3a0ea5,Could not configure server because SASL configuration did not allow the ZooKeeper server to authenticate itself properly: securityException,[],1d5e10a3_1
5,[INFO],Login user set successfully,7fe3ee7b,Login user set successfully,[],1d5e10a3_1
1,[ERROR],SSL isn't supported in NIOServerCnxn,dc400e49,SSL isn't supported in NIOServerCnxn,[],8c261744_1
1,[INFO],Set text trace mask to 0x1a2b3c4d,fb6ebbe4,Set text trace mask to <*>x<*>a<*>b<*>c<*>d,"['0x1', '2b3', '4']",afe2aa34_1
1,[ERROR],"Error cancelling command selection key, Exception",62505a54,"Error cancelling command selection key, Exception",[],078913a0_1
2,[DEBUG],"Command ""UNKNOWN_CMD"" is not executed because it is not in the whitelist.",935b9237,Command <*> is not executed because it is not in the whitelist.,"['""UNKNOWN_CMD""']",078913a0_1
3,[INFO],"Processing ""KNOWN_CMD"" command from ""192.168.1.10:8080""",9398c26d,Processing <*> command from <*>,"['""KNOWN_CMD""', '""192.168.1.10:8080""']",078913a0_1
4,[INFO],Set text trace mask to 0x1a2b3c,59a4a48d,Set text trace mask to <*>x<*>a<*>b<*>c,"['0x1', '2b3']",078913a0_1
1,[DEBUG],"Socket is open, proceeding with operation",ba635213,"Socket is open, proceeding with operation",[],cfc8639a_1
