LineId,Level,Content,EventId,EventTemplate,ParameterList,BlockId
1,[DEBUG],Changing meta file offset of block 1024 from 4096 to 8192,441943f0,Changing meta file offset of block <*> from <*> to <*>,"['1024', '4096', '8192']",26a3b790_1
1,[DEBUG],Changing meta file offset of block 1024 from 4096 to 8192,441943f0,Changing meta file offset of block <*> from <*> to <*>,"['1024', '4096', '8192']",9f4f21bf_1
1,[DEBUG],Changing meta file offset of block 1024 from 4096 to 8192,441943f0,Changing meta file offset of block <*> from <*> to <*>,"['1024', '4096', '8192']",cc7f52f8_1
1,[INFO],Fetched 128MB block from namenode01,39521d5a,Fetched <*>MB block from namenode<*>,"['128', '01']",f569c040_1
2,[ERROR],Access denied to path /user/test,658cc3ae,Access denied to path <*>,['/user/test'],f569c040_1
1,[INFO],Fetched 128MB block from namenode01,39521d5a,Fetched <*>MB block from namenode<*>,"['128', '01']",b137939a_1
2,[ERROR],Access denied to path /user/test,658cc3ae,Access denied to path <*>,['/user/test'],b137939a_1
1,[INFO],Fetched 128MB block from namenode01,39521d5a,Fetched <*>MB block from namenode<*>,"['128', '01']",24dbcb57_1
2,[INFO],Trace scope closed successfully,e2478928,Trace scope closed successfully,[],24dbcb57_1
3,[INFO],Span closed successfully,f54add74,Span closed successfully,[],24dbcb57_1
1,[INFO],Fetched 128MB block from namenode01,39521d5a,Fetched <*>MB block from namenode<*>,"['128', '01']",82b133a2_1
2,[INFO],"Trace span continued with context: {""traceId"":""abc123"",""spanId"":""def456""}",d4935c04,"Trace span continued with context: {<*>:<*>,<*>:<*>}","['""traceId"":""abc123""', '""spanId"":""def456""']",82b133a2_1
3,[INFO],"Trace information retrieved: {""traceId"":""abc123"",""spanId"":""def456""}",9bc90c74,"Trace information retrieved: {<*>:<*>,<*>:<*>}","['""traceId"":""abc123""', '""spanId"":""def456""']",82b133a2_1
4,[INFO],Trace span closed successfully,dd7eeb41,Trace span closed successfully,[],82b133a2_1
5,[ERROR],Access denied to path /user/test,658cc3ae,Access denied to path <*>,['/user/test'],82b133a2_1
1,[INFO],Fetched 128MB block from namenode01,39521d5a,Fetched <*>MB block from namenode<*>,"['128', '01']",32a18917_1
2,[ERROR],Access denied to path /user/test,658cc3ae,Access denied to path <*>,['/user/test'],32a18917_1
1,[INFO],Fetched 128MB block from namenode01,39521d5a,Fetched <*>MB block from namenode<*>,"['128', '01']",e78d5474_1
2,[DEBUG],Attempting to replace block in pool data_pool_01,5803b29a,Attempting to replace block in pool data_pool_<*>,['01'],e78d5474_1
3,[DEBUG],Condition traceScope != null evaluated as true,b4110058,Condition <*> != null evaluated as <*>,"['traceScope', 'true']",e78d5474_1
4,[INFO],Span initialized for tracing,d5104321,<*> <*> for tracing,['Span initialized'],e78d5474_1
5,[DEBUG],Condition span != null evaluated as true,b4110058,Condition <*> != null evaluated as <*>,"['span', 'true']",e78d5474_1
6,[INFO],Closing span for tracing,d5104321,<*> <*> for tracing,['Closing span'],e78d5474_1
7,[INFO],Block replacement operation completed successfully,72ea7e4d,Block replacement operation completed successfully,[],e78d5474_1
8,[DEBUG],Condition traceScope != null evaluated as false,b4110058,Condition <*> != null evaluated as <*>,"['traceScope', 'false']",e78d5474_1
9,[INFO],Block replacement operation completed successfully,72ea7e4d,Block replacement operation completed successfully,[],e78d5474_1
1,[INFO],Fetched 128MB block from namenode01,39521d5a,Fetched <*>MB block from namenode<*>,"['128', '01']",7dc47aa3_1
2,[ERROR],Access denied to path /user/test,658cc3ae,Access denied to path <*>,['/user/test'],7dc47aa3_1
1,[INFO],Operation started for block checksum,5746b426,Operation <*> for block checksum,['started'],cdc25fc2_1
2,[DEBUG],Attempting block checksum calculation,aaa1bf4c,Attempting block checksum calculation,[],cdc25fc2_1
3,[DEBUG],Invoked blockChecksum method,090af525,Invoked <*> method,['blockChecksum'],cdc25fc2_1
4,[DEBUG],"traceScope is not null, proceeding",3d13c2c7,"traceScope is not null, proceeding",[],cdc25fc2_1
5,[INFO],Trace scope entry,9a55f557,Trace scope <*>,['entry'],cdc25fc2_1
6,[DEBUG],"span is not null, closing trace scope",00df1167,"span is not null, closing trace scope",[],cdc25fc2_1
7,[DEBUG],Invoked close method,090af525,Invoked <*> method,['close'],cdc25fc2_1
8,[INFO],Trace scope exit,9a55f557,Trace scope <*>,['exit'],cdc25fc2_1
9,[INFO],Operation completed for block checksum,5746b426,Operation <*> for block checksum,['completed'],cdc25fc2_1
1,[INFO],Continuing trace span with header and client name,6dfd18b2,Continuing trace span with header and client name,[],db4b799d_1
2,[INFO],Fetching span context for trace,2d0d9523,Fetching span context for trace,[],db4b799d_1
3,[INFO],Retrieving trace information,b3c482f0,Retrieving trace information,[],db4b799d_1
4,[INFO],Trace span processing completed,d9193bc7,Trace span processing completed,[],db4b799d_1
5,[INFO],Exiting trace span continuation,df2a4a10,Exiting trace <*> <*>,['span continuation'],db4b799d_1
6,[INFO],Closing trace scope,9c1bfcca,Closing trace scope,[],db4b799d_1
7,[INFO],Checking if span is not null,999baa8b,Checking if span is not null,[],db4b799d_1
8,[INFO],Closing active span,8e1c256e,Closing active span,[],db4b799d_1
9,[INFO],Exiting trace scope closure,df2a4a10,Exiting trace <*> <*>,['scope closure'],db4b799d_1
1,[INFO],Transfer block operation started,1a5abce5,Transfer block operation started,[],aec814f0_1
2,[DEBUG],TraceScope closed,988b27a4,TraceScope closed,[],aec814f0_1
1,[DEBUG],traceScope != null,e7f20a15,traceScope <*> null,['!='],b17d6335_1
2,[INFO],continueTraceSpan,3cbdeaf5,continueTraceSpan,[],b17d6335_1
3,[DEBUG],traceScope == null,e7f20a15,traceScope <*> null,['=='],b17d6335_1
1,[INFO],Fetched 128MB block from namenode01,39521d5a,Fetched <*>MB block from namenode<*>,"['128', '01']",92fab4ed_1
2,[ERROR],Access denied to path /user/test,658cc3ae,Access denied to path <*>,['/user/test'],92fab4ed_1
1,[INFO],Fetched 128MB block from namenode01,39521d5a,Fetched <*>MB block from namenode<*>,"['128', '01']",17565125_1
2,[ERROR],Access denied to path /user/test,658cc3ae,Access denied to path <*>,['/user/test'],17565125_1
1,[INFO],Fetched 128MB block from namenode01,39521d5a,Fetched <*>MB block from namenode<*>,"['128', '01']",f1398c33_1
2,[ERROR],Access denied to path /user/test,658cc3ae,Access denied to path <*>,['/user/test'],f1398c33_1
1,[INFO],Released short-circuit file descriptors,c619c7ea,Released short-circuit file descriptors,[],6177c713_1
1,[INFO],Closed tracing scope,e0062a15,Closed tracing scope,[],6177c713_2
1,[INFO],Fetched 128MB block from namenode01,39521d5a,Fetched <*>MB block from namenode<*>,"['128', '01']",9356f976_1
2,[ERROR],Access denied to path /user/test,658cc3ae,Access denied to path <*>,['/user/test'],9356f976_1
1,[DEBUG],traceScope != null,e7f20a15,traceScope <*> null,['!='],adcf825f_1
2,[DEBUG],traceScope == null,e7f20a15,traceScope <*> null,['=='],adcf825f_1
3,[INFO],Default instance returned,d247db30,Default instance returned,[],adcf825f_1
4,[DEBUG],span != null,53056784,span != null,[],adcf825f_1
1,[INFO],Entry,b948e8a0,Entry,[],887a26fd_1
2,[INFO],Entry,b948e8a0,Entry,[],887a26fd_1
3,[INFO],Exit,fef46e50,Exit,[],887a26fd_1
4,[INFO],Exit,fef46e50,Exit,[],887a26fd_1
1,[DEBUG],traceScope != null,f88f46b2,<*> != null,['traceScope'],887a26fd_2
2,[INFO],Default instance returned,d247db30,Default instance returned,[],887a26fd_2
3,[DEBUG],span != null,f88f46b2,<*> != null,['span'],887a26fd_2
1,[TRACE],Registering dfsInputStream for /user/data,e29b7448,Registering dfsInputStream for <*>,['/user/data'],475c8eb2_1
2,[INFO],Added dfsInputStream to registeredInputStreams,c5200b7c,Added dfsInputStream to registeredInputStreams,[],475c8eb2_1
1,[TRACE],Registering dfsInputStream for /user/data/input_stream,e29b7448,Registering dfsInputStream for <*>,['/user/data/input_stream'],4297f10d_1
1,[INFO],Fetched 128MB block from namenode01,39521d5a,Fetched <*>MB block from namenode<*>,"['128', '01']",928645da_1
2,[ERROR],Access denied to path /user/test,658cc3ae,Access denied to path <*>,['/user/test'],928645da_1
1,[DEBUG],Thread interrupted,2ab078e1,Thread interrupted,[],b3207a18_1
1,[INFO],Fetched 128MB block from namenode01,39521d5a,Fetched <*>MB block from namenode<*>,"['128', '01']",88a78c78_1
2,[ERROR],Access denied to path /user/test,658cc3ae,Access denied to path <*>,['/user/test'],88a78c78_1
1,[DEBUG],Start process datanode/external error,ce81be2d,Start process datanode<*> error,['/external'],ceb06c8d_1
2,[INFO],Error recovery for block waiting for responder to exit,67088223,Error recovery for block waiting for responder to exit,[],ceb06c8d_1
3,[WARN],Error recovering pipeline for writing block. Already retried 5 times for the same packet,ec76ac5d,Error recovering pipeline for writing block. Already retried <*> times for the same packet,['5'],ceb06c8d_1
4,[DEBUG],Closing old block block-01,7b37f1b8,Closing old block block-<*>,['01'],ceb06c8d_1
5,[DEBUG],"Nodes [node01, node02] storageTypes [DISK, SSD] storageIDs [id01, id02]",71a967cb,Nodes <*> storageTypes <*> storageIDs <*>,"['[node01, node02]', '[DISK, SSD]', '[id01, id02]']",ceb06c8d_1
6,[WARN],Pipeline setup failed due to missing nodes,561ece9b,Pipeline setup failed due to missing nodes,[],ceb06c8d_1
1,[INFO],Fetched 128MB block from namenode01,39521d5a,Fetched <*>MB block from namenode<*>,"['128', '01']",043f2a44_1
2,[ERROR],Access denied to path /user/test,658cc3ae,Access denied to path <*>,['/user/test'],043f2a44_1
1,[INFO],Fetched 128MB block from namenode01,39521d5a,Fetched <*>MB block from namenode<*>,"['128', '01']",bdea6dc9_1
2,[ERROR],Access denied to path /user/test,658cc3ae,Access denied to path <*>,['/user/test'],bdea6dc9_1
1,[INFO],Fetched 128MB block from namenode01,39521d5a,Fetched <*>MB block from namenode<*>,"['128', '01']",52166f8a_1
2,[ERROR],Access denied to path /user/test,658cc3ae,Access denied to path <*>,['/user/test'],52166f8a_1
1,[INFO],Fetched 128MB block from namenode01,39521d5a,Fetched <*>MB block from namenode<*>,"['128', '01']",f87f7fa9_1
2,[ERROR],Access denied to path /user/test,658cc3ae,Access denied to path <*>,['/user/test'],f87f7fa9_1
