entry_id,BlockId,log_key,exec_flow,log_segment,single_log_label,block_log_label
1,26a3b790_1,26a3b790_1,ENTRY→ConditionCheck%%ENTRY→OtherBranch,[DEBUG]:Changing meta file offset of block 1024 from 4096 to 8192,normal,normal
2,9f4f21bf_1,9f4f21bf_1,ENTRY→IF_TRUE%%ENTRY→IF_FALSE,[DEBUG]:Changing meta file offset of block 1024 from 4096 to 8192,normal,normal
3,cc7f52f8_1,cc7f52f8_1,ENTRY→ConditionCheck%%ENTRY→OtherBranch,[DEBUG]:Changing meta file offset of block 1024 from 4096 to 8192,normal,normal
4,f569c040_1,f569c040_1,ENTRY→ConditionCheck%%ENTRY→OtherBranch,[INFO]:Fetched 128MB block from namenode01,normal,explicit
5,f569c040_1,f569c040_1,ENTRY→ConditionCheck%%ENTRY→OtherBranch,[ERROR]:Access denied to path /user/test,explicit,explicit
6,b137939a_1,b137939a_1,ENTRY→ConditionCheck%%ENTRY→OtherBranch,[INFO]:Fetched 128MB block from namenode01,normal,explicit
7,b137939a_1,b137939a_1,ENTRY→ConditionCheck%%ENTRY→OtherBranch,[ERROR]:Access denied to path /user/test,explicit,explicit
8,24dbcb57_1,24dbcb57_1,ENTRY→TRY→readBlock→IF_TRUE→traceScope.close→ENTRY→IF_TRUE→close→EXIT→EXIT%%ENTRY→TRY→readBlock→IF_FALSE→EXIT,[INFO]:Fetched 128MB block from namenode01,normal,normal
9,24dbcb57_1,24dbcb57_1,ENTRY→TRY→readBlock→IF_TRUE→traceScope.close→ENTRY→IF_TRUE→close→EXIT→EXIT%%ENTRY→TRY→readBlock→IF_FALSE→EXIT,[INFO]:Trace scope closed successfully,normal,normal
10,24dbcb57_1,24dbcb57_1,ENTRY→TRY→readBlock→IF_TRUE→traceScope.close→ENTRY→IF_TRUE→close→EXIT→EXIT%%ENTRY→TRY→readBlock→IF_FALSE→EXIT,[INFO]:Span closed successfully,normal,normal
11,82b133a2_1,82b133a2_1,ENTRY→TRY→CALL:writeBlock→IF_TRUE→CALL:continueTraceSpan→CALL:getSpanContext→CALL:getTraceInfo→RETURN→CALL:traceScope.close→IF_TRUE→CALL:close→EXIT%%ENTRY→TRY→CALL:writeBlock→IF_FALSE→EXIT,[INFO]:Fetched 128MB block from namenode01,normal,explicit
12,82b133a2_1,82b133a2_1,ENTRY→TRY→CALL:writeBlock→IF_TRUE→CALL:continueTraceSpan→CALL:getSpanContext→CALL:getTraceInfo→RETURN→CALL:traceScope.close→IF_TRUE→CALL:close→EXIT%%ENTRY→TRY→CALL:writeBlock→IF_FALSE→EXIT,"[INFO]:Trace span continued with context: {""traceId"":""abc123"",""spanId"":""def456""}",normal,explicit
13,82b133a2_1,82b133a2_1,ENTRY→TRY→CALL:writeBlock→IF_TRUE→CALL:continueTraceSpan→CALL:getSpanContext→CALL:getTraceInfo→RETURN→CALL:traceScope.close→IF_TRUE→CALL:close→EXIT%%ENTRY→TRY→CALL:writeBlock→IF_FALSE→EXIT,"[INFO]:Trace information retrieved: {""traceId"":""abc123"",""spanId"":""def456""}",normal,explicit
14,82b133a2_1,82b133a2_1,ENTRY→TRY→CALL:writeBlock→IF_TRUE→CALL:continueTraceSpan→CALL:getSpanContext→CALL:getTraceInfo→RETURN→CALL:traceScope.close→IF_TRUE→CALL:close→EXIT%%ENTRY→TRY→CALL:writeBlock→IF_FALSE→EXIT,[INFO]:Trace span closed successfully,normal,explicit
15,82b133a2_1,82b133a2_1,ENTRY→TRY→CALL:writeBlock→IF_TRUE→CALL:continueTraceSpan→CALL:getSpanContext→CALL:getTraceInfo→RETURN→CALL:traceScope.close→IF_TRUE→CALL:close→EXIT%%ENTRY→TRY→CALL:writeBlock→IF_FALSE→EXIT,[ERROR]:Access denied to path /user/test,explicit,explicit
16,32a18917_1,32a18917_1,ENTRY→ConditionCheck,[INFO]:Fetched 128MB block from namenode01,normal,explicit
17,32a18917_1,32a18917_1,ENTRY→ConditionCheck,[ERROR]:Access denied to path /user/test,explicit,explicit
18,e78d5474_1,e78d5474_1,ENTRY→TRY→replaceBlock→ConditionCheck(traceScope != null)→ENTRY→ConditionCheck(span != null)→close→EXIT→EXIT%%ENTRY→TRY→replaceBlock→ConditionCheck(traceScope == null)→EXIT,[INFO]:Fetched 128MB block from namenode01,normal,normal
19,e78d5474_1,e78d5474_1,ENTRY→TRY→replaceBlock→ConditionCheck(traceScope != null)→ENTRY→ConditionCheck(span != null)→close→EXIT→EXIT%%ENTRY→TRY→replaceBlock→ConditionCheck(traceScope == null)→EXIT,[DEBUG]:Attempting to replace block in pool data_pool_01,normal,normal
20,e78d5474_1,e78d5474_1,ENTRY→TRY→replaceBlock→ConditionCheck(traceScope != null)→ENTRY→ConditionCheck(span != null)→close→EXIT→EXIT%%ENTRY→TRY→replaceBlock→ConditionCheck(traceScope == null)→EXIT,[DEBUG]:Condition traceScope != null evaluated as true,normal,normal
21,e78d5474_1,e78d5474_1,ENTRY→TRY→replaceBlock→ConditionCheck(traceScope != null)→ENTRY→ConditionCheck(span != null)→close→EXIT→EXIT%%ENTRY→TRY→replaceBlock→ConditionCheck(traceScope == null)→EXIT,[INFO]:Span initialized for tracing,normal,normal
22,e78d5474_1,e78d5474_1,ENTRY→TRY→replaceBlock→ConditionCheck(traceScope != null)→ENTRY→ConditionCheck(span != null)→close→EXIT→EXIT%%ENTRY→TRY→replaceBlock→ConditionCheck(traceScope == null)→EXIT,[DEBUG]:Condition span != null evaluated as true,normal,normal
23,e78d5474_1,e78d5474_1,ENTRY→TRY→replaceBlock→ConditionCheck(traceScope != null)→ENTRY→ConditionCheck(span != null)→close→EXIT→EXIT%%ENTRY→TRY→replaceBlock→ConditionCheck(traceScope == null)→EXIT,[INFO]:Closing span for tracing,normal,normal
24,e78d5474_1,e78d5474_1,ENTRY→TRY→replaceBlock→ConditionCheck(traceScope != null)→ENTRY→ConditionCheck(span != null)→close→EXIT→EXIT%%ENTRY→TRY→replaceBlock→ConditionCheck(traceScope == null)→EXIT,[INFO]:Block replacement operation completed successfully,normal,normal
