LineId,Level,Content,EventId,EventTemplate,ParameterList,BlockId
1,[INFO],Fetched 128MB block from namenode01,39521d5a,Fetched <*>MB block from namenode<*>,"['128', '01']",26a3b790_1
2,[ERROR],Access denied to path /user/test,658cc3ae,Access denied to path <*>,['/user/test'],26a3b790_1
1,[DEBUG],Changing meta file offset of block 12345 from 1000 to 2000,441943f0,Changing meta file offset of block <*> from <*> to <*>,"['12345', '1000', '2000']",9f4f21bf_1
1,[DEBUG],Changing meta file offset of block 1024 from 4096 to 8192,441943f0,Changing meta file offset of block <*> from <*> to <*>,"['1024', '4096', '8192']",cc7f52f8_1
1,[INFO],Fetched 128MB block from namenode01,39521d5a,Fetched <*>MB block from namenode<*>,"['128', '01']",f569c040_1
2,[ERROR],Access denied to path /user/test,658cc3ae,Access denied to path <*>,['/user/test'],f569c040_1
1,[INFO],Fetched 128MB block from namenode01,39521d5a,Fetched <*>MB block from namenode<*>,"['128', '01']",b137939a_1
2,[ERROR],Access denied to path /user/test,658cc3ae,Access denied to path <*>,['/user/test'],b137939a_1
1,[DEBUG],Continuing trace span with description: Read operation for block 1024,8ca81206,Continuing trace span with description: Read operation for block <*>,['1024'],24dbcb57_1
2,[INFO],Using caching strategy: LRU,a902c26f,Using caching strategy: LRU,[],24dbcb57_1
3,[DEBUG],Default caching strategy applied,358b9519,Default caching strategy applied,[],24dbcb57_1
1,[DEBUG],Continuing trace span with description: Write operation,078e57d7,Continuing trace span with description: Write operation,[],82b133a2_1
2,[DEBUG],Closing trace span,b63ce570,Closing trace span,[],82b133a2_1
1,[INFO],Fetched 128MB block from namenode01,39521d5a,Fetched <*>MB block from namenode<*>,"['128', '01']",32a18917_1
2,[ERROR],Access denied to path /user/test,658cc3ae,Access denied to path <*>,['/user/test'],32a18917_1
1,[DEBUG],"Continuing trace span with description: ""Replacing block operation initiated""",35b8104c,Continuing trace span with description: <*>,"['""Replacing block operation initiated""']",e78d5474_1
2,[INFO],"Replacing block with storage ID: ""DS-12345""",e7ffe523,Replacing block with storage ID: <*>,"['""DS-12345""']",e78d5474_1
1,[INFO],Received OP_COPY_BLOCK,a82d8b1a,Received OP_COPY_BLOCK,[],7dc47aa3_1
2,[DEBUG],Continuing trace span with header and trace ID,c07586a1,Continuing trace span with header and trace ID,[],7dc47aa3_1
1,[DEBUG],"Continuing trace span with description: ""Checksum operation initiated""",35b8104c,Continuing trace span with description: <*>,"['""Checksum operation initiated""']",cdc25fc2_1
2,[DEBUG],Closing trace scope,9c1bfcca,Closing trace scope,[],cdc25fc2_1
1,[DEBUG],Closing trace scope,9c1bfcca,Closing trace scope,[],db4b799d_1
2,[DEBUG],Continuing trace span,c81f409c,Continuing trace span,[],db4b799d_1
1,[DEBUG],Continuing trace span with description: Block transfer operation,f4af4ec9,Continuing trace span with description: Block transfer operation,[],aec814f0_1
2,[INFO],Transferring block: blk_123456,f0e49b3a,Transferring block: blk_<*>,['123456'],aec814f0_1
3,[INFO],Target storage types: DISK,8e01b60e,Target storage types: DISK,[],aec814f0_1
4,[DEBUG],Closing trace span,b63ce570,Closing trace span,[],aec814f0_1
1,[DEBUG],SlotId conversion initiated,d87ee372,SlotId conversion initiated,[],b17d6335_1
2,[INFO],"TraceScope created for ""ShortCircuitDataTransfer""",d7beeffd,TraceScope created for <*>,"['""ShortCircuitDataTransfer""']",b17d6335_1
3,[DEBUG],Continuing trace span,c81f409c,Continuing trace span,[],b17d6335_1
4,[DEBUG],Closing span,ffe74f51,Closing span,[],b17d6335_1
1,[INFO],Fetched 256MB block from https://namenode:8020,ec915a36,Fetched <*>MB block from https:<*>:<*>,"['256', '//namenode:8020']",92fab4ed_1
2,[ERROR],Access denied to path /user/data,658cc3ae,Access denied to path <*>,['/user/data'],92fab4ed_1
1,[INFO],Fetched 256MB block from namenode01,39521d5a,Fetched <*>MB block from namenode<*>,"['256', '01']",17565125_1
2,[ERROR],Access denied to path /user/data,658cc3ae,Access denied to path <*>,['/user/data'],17565125_1
1,[INFO],Fetched 128MB block from namenode01,39521d5a,Fetched <*>MB block from namenode<*>,"['128', '01']",f1398c33_1
2,[ERROR],Access denied to path /user/test,658cc3ae,Access denied to path <*>,['/user/test'],f1398c33_1
1,[DEBUG],Continuing trace span,c81f409c,Continuing trace span,[],6177c713_1
2,[DEBUG],Closing trace scope,9c1bfcca,Closing trace scope,[],6177c713_1
3,[DEBUG],Accessing trace info,a6027d4b,Accessing trace info,[],6177c713_1
4,[INFO],Default trace info used,cfd3de0d,Default trace info used,[],6177c713_1
1,[INFO],Fetched 1024MB block from https://namenode:8020,ec915a36,Fetched <*>MB block from https:<*>:<*>,"['1024', '//namenode:8020']",9356f976_1
2,[ERROR],Access denied to path /user/data,658cc3ae,Access denied to path <*>,['/user/data'],9356f976_1
1,[DEBUG],TraceInfo retrieved successfully,5c8e2a19,TraceInfo retrieved successfully,[],adcf825f_1
1,[DEBUG],SlotId conversion initiated,d87ee372,SlotId conversion initiated,[],887a26fd_1
2,[INFO],"TraceScope created for ""ShortCircuitFdsOperation""",d7beeffd,TraceScope created for <*>,"['""ShortCircuitFdsOperation""']",887a26fd_1
3,[DEBUG],Continuing trace span,c81f409c,Continuing trace span,[],887a26fd_1
4,[DEBUG],Closing span,ffe74f51,Closing span,[],887a26fd_1
5,[DEBUG],Closing trace scope,9c1bfcca,Closing trace scope,[],887a26fd_1
6,[DEBUG],Accessing trace info,a6027d4b,Accessing trace info,[],887a26fd_1
7,[INFO],Default trace info used,cfd3de0d,Default trace info used,[],887a26fd_1
8,[DEBUG],TraceInfo retrieved successfully,5c8e2a19,TraceInfo retrieved successfully,[],887a26fd_1
1,[INFO],Fetched 128MB block from namenode01,39521d5a,Fetched <*>MB block from namenode<*>,"['128', '01']",475c8eb2_1
2,[ERROR],Access denied to path /user/test,658cc3ae,Access denied to path <*>,['/user/test'],475c8eb2_1
1,[TRACE],Registering DFSInputStream for /user/data,607509cd,Registering DFSInputStream for <*>,['/user/data'],4297f10d_1
1,[INFO],Fetched 128MB block from namenode01,39521d5a,Fetched <*>MB block from namenode<*>,"['128', '01']",928645da_1
2,[ERROR],Access denied to path /user/test,658cc3ae,Access denied to path <*>,['/user/test'],928645da_1
1,[INFO],Fetched 256MB block from https://namenode:8020,ec915a36,Fetched <*>MB block from https:<*>:<*>,"['256', '//namenode:8020']",b3207a18_1
2,[ERROR],Access denied to path /user/data,658cc3ae,Access denied to path <*>,['/user/data'],b3207a18_1
1,[INFO],Fetched 128MB block from namenode01,39521d5a,Fetched <*>MB block from namenode<*>,"['128', '01']",b570e521_1
2,[ERROR],Access denied to path /user/test,658cc3ae,Access denied to path <*>,['/user/test'],b570e521_1
1,[INFO],Fetched 128MB block from namenode01,39521d5a,Fetched <*>MB block from namenode<*>,"['128', '01']",88a78c78_1
2,[ERROR],Access denied to path /user/test,658cc3ae,Access denied to path <*>,['/user/test'],88a78c78_1
1,[DEBUG],"Start process datanode/external error, datanode01",54d79306,"Start process datanode<*> error, datanode<*>","['/external', '01']",ceb06c8d_1
2,[INFO],Error recovery for block blk_12345 waiting for responder to exit,f413561a,Error recovery for block blk_<*> waiting for responder to exit,['12345'],ceb06c8d_1
3,[WARN],Error recovering pipeline for writing block blk_12345. Already retried 5 times for the same packet,2db3eb77,Error recovering pipeline for writing block blk_<*>. Already retried <*> times for the same packet,"['12345', '5']",ceb06c8d_1
4,[DEBUG],Closing old block blk_12345,5e222677,Closing old block blk_<*>,['12345'],ceb06c8d_1
5,[WARN],"Could not get block locations. Source file ""/user/data/file01"" - Aborting... datanode01",8f3ad458,Could not get block locations. Source file <*> - Aborting... datanode<*>,"['""/user/data/file01""', '01']",ceb06c8d_1
6,[DEBUG],"Nodes [datanode01, datanode02] storageTypes [DISK, SSD] storageIDs [id_01, id_02]",71a967cb,Nodes <*> storageTypes <*> storageIDs <*>,"['[datanode01, datanode02]', '[DISK, SSD]', '[id_01, id_02]']",ceb06c8d_1
1,[INFO],Fetched 128MB block from namenode01,39521d5a,Fetched <*>MB block from namenode<*>,"['128', '01']",043f2a44_1
