EventTemplate,AdldEventId
Receiving block <*> src: /<*> dest: /<*>,1
BLOCK* NameSystem.allocateBlock:<*>,2
PacketResponder <*> for block <*> terminating,3
Received block <*> of size <*> from /<*>,4
BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,5
Received block <*> src: /<*> dest: /<*> of size <*>,6
<*>:Transmitted block <*> to /<*>,7
<*> Starting thread to transfer block <*> to <*>,8
BLOCK* ask <*> to replicate <*> to datanode(s) <*>,9
<*> Served block <*> to /<*>,10
Verification succeeded for <*>,11
writeBlock <*> received exception <*>,12
PacketResponder <*> <*> Exception <*>,13
Deleting block <*> file <*>,14
Receiving empty packet for block <*>,15
Exception in receiveBlock for block <*> <*>,16
BLOCK* NameSystem.addStoredBlock: Redundant addStoredBlock request received for <*> on <*> size <*>,17
PacketResponder <*> for block <*> Interrupted.,18
Changing block file offset of block <*> from <*> to <*> meta file offset to <*>,19
Sorting located striped block,20
Sorting located block,21
Encountered exception loading fsimage,22
Finished loading FSImage in <*> msecs,23
Refresh super user groups configuration <*> for namenode<*>:<*>,24
Refresh super user groups configuration successful,25
Refresh superuser groups configuration in Router,26
"Proxying operation: refreshSuperUserGroupsConfiguration, refreshSuperUserGroupsConfiguration",27
Operation check performed,28
Acquired locations for path <*>,29
Concurrent invocation initiated,30
Sequential invocation initiated,31
No shared edits directory configured for namespace ns-<*> namenode namenode<*>,32
Could not initialize shared edits dir,33
Fetched <*>MB block from namenode<*>,34
Access denied to path <*>,35
Getting groups for user hadoop_user,36
Failed to delete <*> file <*><*>,37
Rename operation succeeded for path <*>,38
Rename operation completed successfully on namenode<*>,39
Stopping HTTP server on port <*>,40
HTTP server stopped successfully,41
Service stopped successfully,42
There are no pending or blocks yet to be processed,43
There are <*> blocks pending replication and the limit is <*>. A further <*> blocks are waiting to be processed. The replication queue currently has <*> blocks,44
<*> blocks are now pending replication,45
Sent total: <*>MB,46
Connection closed by client,47
SIMULATING A CORRUPT BYTE IN IMAGE TRANSFER!,48
Cannot create record type <*> from <*>: Invalid format,49
"Cannot get data for <*> at <*>, cleaning corrupted data",50
Cannot get <*> for <*>: <*> <*>,51
Executed writeInt with value <*>,52
Saved all keys to <*>,53
Saved current tokens to <*>,54
Audit log <*> for operation listSnapshottableDirectory,55
getUGI is returning: hadoop_user,56
Unexpectedly <*> <*> on <*><*>,57
Truncate operation initialized for path <*>,58
Client <*> set to <*>,59
New length set to <*> bytes,60
Timestamp set to <*>,61
Truncate block set to block-<*>,62
Edit logged successfully,63
"Upstream service is down, skipping the sps work.",64
Failed to satisfy the policy after retries. Removing inode from the queue.,65
Block analysis <*> for the file id:<*>.,66
Adding to attempt monitor queue for the storage movement attempt finished report.,67
Adding trackID:<*> for the file id:<*> back to retry queue as none of the blocks found its eligible targets.,68
Adding trackID:<*> for the file id:<*> back to retry queue as some of the blocks are low redundant.,69
Adding trackID:<*> for the file id:<*> back to retry queue as some of the blocks movement failed.,70
"So, Cleaning up the Xattrs.",71
Namenode is in safemode. It will retry again.,72
Exception during StoragePolicySatisfier execution - will continue next cycle.,73
Stopping StoragePolicySatisfier.,74
StoragePolicySatisfier thread received runtime exception.,75
Select counter statement: SELECT * FROM counter_table,76
Counter table not initialized: counter_table,77
Reading <*>MB block from namenode<*>,78
Chunk is instance of LastHttpContent,79
Releasing DFS resources,80
Setting block metadata,81
Adding listener for block completion,82
Failed to <*> <*> <*> due to IOException,83
Exception caught and handled,84
Chunk is not instance of LastHttpContent,85
"Exception in channel handler, cause",86
Removed default ACL for path <*>,87
Successfully processed removeDefaultAcl request,88
Proxying operation,89
Block <*> moved from <*> to <*>,90
Source storage type: SSD,91
Target storage type: HDD,92
Block movement attempt completed successfully,93
Failed to connect with namenode,94
About to load edits: <*>,95
Reading <*><*> expecting start txid #<*> <*>,96
No node to choose.,97
"First trial failed, node has no type SSD, making second trial carrying this type",98
Fetched delegation token from namenode<*>,99
Token service set to namenode<*>:<*>,100
Token added successfully,101
trying to get DT with no secret manager running,102
Namesystem image is not loaded,103
Namesystem image is loaded,104
Number of INodes (<*>) exceeds iip length (<*>),105
Quota check <*> <*> skipQuotaCheck is <*>,106
Quota verification completed successfully,107
Updated INode count to <*>,108
Retrieved storage policy ID <*>,109
Number of INodes (<*>) does not exceed iip length (<*>),110
Shutdown completed for block pool data_pool_<*>,111
Removed block pool slices for data_pool_<*>,112
"Success: removeCachePool, poolName: data_pool_<*>, true",113
"Failure: removeCachePool, poolName: data_pool_<*>, false",114
"Exception in writeLock during removeCachePool, poolName: data_pool_<*>, false",115
Namenode startup check succeeded,116
Received datanode report from namenode<*>,117
Established connection with peer at <*>.<*>.<*>.<*>:<*>,118
Set <*> timeout to <*>ms,119
Sent <*> bytes to peer,120
Peer send operation succeeded,121
Peer send operation failed: Connection reset by peer,122
Cleaned up resources with logger,123
Removing unknown block <*>,124
File <*> is not under construction. Skipping add to low redundancy open files!,125
mkdirs: created directory <*>,126
Probing NN at service address: namenode<*>:<*>,127
Cannot fetch safemode state for namenode<*>:<*>,128
The target has been modified since snapshot <*><*>,129
Failed to compute snapshot diff on <*><*> due to IOException,130
Operation check succeeded for path <*>,131
Retrieved block locations for path <*> from namenode<*>,132
Sequential operation completed successfully,133
"DFSClient flush(): bytesCurBlock=<*>, lastFlushOffset=<*>, createNewBlock=true",134
Unable to persist blocks in hflush for <*>,135
Error while syncing,136
excess types chosen for block <*> among storages <*> is empty,137
Choose redundant EC replicas to delete from blk_<*> which is located in <*>,138
Found duplicated storage UUID: storage-<*> in <*>,139
Loading InMemoryAliasMapWriter for block pool id pool-<*>,140
"Failed to updateBlock (newblock=<*>, datanode=datanode<*>)",141
Lock <*> successfully,142
Endpoint shared memory manager initialized,143
Free slot allocated successfully in shared memory,144
Interrupted during wait interval,145
Fetched RBF metrics successfully,146
Number of stale nodes: <*>,147
Failed to get number of stale nodes,148
closeImpl invoked successfully,149
IOException occurred: Failed to close resource,150
Resource closed successfully,151
Fetched erasure coding codecs from namenode<*>,152
RPC proxy stopped successfully,153
Exception occurred while modifying cache pool,154
modifyCachePool of data_pool_<*> successful; set <*> to <*>,155
modifyCachePool of data_pool_<*> successful; set default replication to <*>,156
modifyCachePool of data_pool_<*> successful; no changes.,157
Deactivation request received for <*> volume: <*><*>,158
No directory is specified.,159
Cannot get children for <*>,160
Error encountered requiring NN shutdown. Shutting down immediately.,161
File copied successfully from <*> to <*> using nativeCopyFileUnbuffered,162
Evicted expired entries from cache,163
Cleared cache successfully,164
InterruptedException occurred during cache operation,165
"logAuditEvent(false, setAcl, <*>)",166
"logAuditEvent(true, setAcl, <*>, null, FileStatus{path=<*>, isDirectory=true, length=<*>, modificationTime=<*>, owner=hadoop_user, group=hadoop_group, permission=rwxr-xr-x})",167
Initializing replication queues,168
Processing mis-replicated blocks,169
Replication queues initialized successfully,170
NFS READDIR fileHandle: <*> cookie: <*> count: <*> client: <*>.<*>.<*>.<*>,171
Retry cache on namenode is <*>,172
Retry cache will use <*>.<*> of total heap and retry cache entry expiry time is <*> millis,173
JournalNodeRpcServer initialized successfully,174
Received journal request for block <*> at offset <*>,175
Successfully wrote journal entry for block <*>,176
JournalNodeRpcServer completed request successfully,177
Purging logs older than <*>,178
Marking stale logs for transaction ID <*>,179
Replaced URI prefix with webhdfs:<*><*>:<*>,180
Initialized WebHdfsHandler for webhdfs:<*><*>:<*>,181
Channel read operation completed successfully,182
"Invalid number of arguments provided. Expected <*>, got <*>.",183
File system is not an instance of DistributedFileSystem.,184
Successfully initialized FileSystem for URI: hdfs:<*>:<*>,185
IOException occurred while processing file: <*>,186
Stack trace: java.io.IOException: File not found,187
File processing completed successfully.,188
"Re-scanned block block_<*>, result is SUCCESS",189
Caught InterruptedException while scheduling replication work for mis-replicated blocks,190
Removing zone zone_<*> from re-encryption.,191
The quota system is disabled in Router.,192
Permission denied: hadoop_user is not allowed to change quota of <*>,193
Quota set successfully for <*>,194
Invocation to <*> for <*> timed out,195
Cannot execute getFileInfo in namenode<*>: Connection timed out,196
"Exception from remote name node namenode<*>, try next.",197
Uncaching of <*><*> completed. usedBytes = <*>,198
Deferred uncaching of <*><*> completed. usedBytes = <*>,199
Fetched default URI: hdfs:<*><*>:<*>,200
Retrieved configuration for path <*>,201
Append chunk set to <*>,202
Checksum buffer size reset to <*> bytes,203
Packet chunk size computed as <*> bytes,204
Triggered block report for DataNode,205
Analyzed storage directory <*>,206
Refreshed storage metadata for pool-<*>,207
Journal created,208
Successfully fetched next subdirectory <*>,209
NFS READLINK fileHandle: <*> client: hadoop_user,210
Can't get path for fileId: <*>,211
"Not a symlink, fileId: <*>",212
"Symlink target should not be null, fileId: <*>",213
Link size: <*> is larger than max transfer size: <*>,214
getBlockLocalPathInfo successful block=<*> blockfile=<*> metafile=<*>,215
getBlockLocalPathInfo for block=<*> returning null,216
Erasure coding policy disabled successfully,217
Journal created successfully at <*>,218
Edit log manifest fetched successfully,219
Manifest converted to builder format,220
Builder initialized with manifest,221
Bound HTTP address retrieved: https:<*>:<*>,222
Port number retrieved: <*>,223
HTTP port set to <*>,224
HTTP server URI set to https:<*>:<*>,225
URL set from https:<*>:<*>,226
Lifeline sent successfully to namenode<*>,227
Access to BPServiceActor$LifelineSender granted,228
NFS READ fileHandle:<*> offset:<*> count:<*> client:<*>.<*>.<*>.<*>,229
Exception when adding <*> to the file system,230
Checking NameNode startup status,231
Superuser privileges verified successfully,232
Layout version verified successfully,233
Backup node registered successfully,234
Initialized PmemVolumeManager for persistent memory volume,235
No entries remaining in the pending list.,236
Cleared trash for pool data_pool_<*>,237
Fetched namenode service ID: namenode<*>,238
Initialized configuration with generic keys,239
Unset HA special independent keys for namenode<*>,240
Inconsistent number of corrupt replicas for block_<*> blockMap has <*> but corrupt replicas map has <*>,241
Failed to get snapshottable directories. Ignore and continue.,242
"*BLOCK* NameNode.blockReport: from datanode<*>, reports.length=<*>",243
Successfully renamed reserved paths during upgrade,244
Retrieved layout version <*>,245
Fetched INode for path <*>,246
Loaded children for INode <*>,247
Other JournalNode addresses not available. Journal Syncing cannot be done,248
Could not add proxy for Journal at address <*>.<*>.<*>.<*>,249
Cannot sync as there is no other JN available for sync.,250
DatanodeAdminMonitorV<*> is running.,251
"Namesystem is not running, skipping decommissioning<*> checks.",252
DatanodeAdminMonitor caught exception when processing node.,253
Checked <*> blocks this tick. <*> nodes are now in maintenance or transitioning state. <*> nodes pending. <*> nodes waiting to be cancelled.,254
Repetitive policies in EC policy configuration file: RS-<*>-<*>-<*>k,255
IOException occurred while calling getWriter in <*>,256
under <*> block <*><*>: <*>,257
over replicated block <*><*>: OVER_REPLICATED,258
invalid block <*><*>: INVALID,259
postpone block <*><*>: POSTPONE,260
Interrupted while processing replication queues.,261
Successfully purged logs older than <*> days,262
Created Paxos directory at <*>,263
Purged <*> matching log files from <*>,264
"Failed to re-encrypt one batch of <*> edeks, start:<*>",265
Audit Event: setReplication,266
Successfully set owner for path <*> to hadoop_user,267
Failed to replace datanode. Continue with the remaining datanodes since BEST_EFFORT_KEY is set to true.,268
Access denied to path <*> <*> Audit: setPermission successful for src <*> with permissions READ|WRITE <*> Audit: setPermission failed due to AccessControlException for src <*>,269
"logAuditEvent(false, getAclStatus, <*>)",270
"logAuditEvent(true, getAclStatus, <*>)",271
Removed ACL entries for path <*>,272
Cannot access storage directory <*>,273
<*> does not exist. Creating ...,274
<*> is not a directory,275
Unable to acquire file lock on path <*>,276
Upgrade is not supported from this older version <*> of storage to the current version. Please upgrade to <*>.<*> or a later version and then upgrade to current version. Old layout version is <*> and latest layout version this software version can upgrade from is <*>.,277
Fetched storage policies from namenode<*>,278
Cannot request to satisfy storage policy when storage policy satisfier feature has been disabled by admin. Seek for an admin help to enable it or use Mover tool.,279
Verified outstanding path quota limit successfully.,280
Verifying superuser privileges,281
Waiting for RetryCache completion,282
Cache entry found and marked as successful,283
Checkpoint completed successfully,284
RetryCache state updated,285
Saved MD<*> d<*>d<*>cd<*>f<*>b<*>e<*>ecf<*>e to <*><*>sum.txt,286
Starting journal mapping process,287
Retrieved manager instance successfully,288
Recovering unfinalized segments from <*>,289
Successfully recovered <*> unfinalized segments,290
MembershipStoreImpl cache loaded,291
CachedRecordStore cache loaded,292
MembershipNamenodeResolver cache loaded,293
MountTableResolver cache loaded,294
"Log Audit Event: <*> enableErasureCodingPolicy, RS-<*>-<*>-<*>k",295
Setting erasure coding policy,296
Logging RPC IDs,297
logAuditEvent success,298
Number of suppressed write-lock reports: <*>\nLongest write-lock held at <*>-<*>-<*>T<*>:<*>:<*> for <*>ms via <*>\nTotal suppressed write-lock held time: <*>ms,299
Namespace quota set,300
Diskspace quota set,301
logSync(tx) synctxid=<*> lastJournalledTxId=<*> mytxid=<*>,302
Number of transactions: <*> Total time for transactions(ms): <*> Number of transactions batched in Syncs: <*> Number of syncs: <*> SyncTimes(ms): <*>,303
Checked if path <*> is in snapshot,304
Path <*> is in snapshot,305
Applied umask <*> to directory <*>,306
Created directory <*> with permissions <*>,307
Replication factor unchanged. No action required.,308
Replication factor updated from <*> to <*>.,309
Reconstruction queue updated for block <*>.,310
Processing extra redundancy for block <*> with new replication factor <*>.,311
No extra redundancy processing required for block <*>.,312
"read(arr.length=<*>, off=<*>, len=<*>, filename=<*><*>.txt, block=block_<*>, canSkipChecksum=true): starting",313
"read(arr.length=<*>, off=<*>, len=<*>, filename=<*><*>.txt, block=block_<*>, canSkipChecksum=true): returning <*>",314
Cached dfsUsed found for <*>,315
"elapsed time:<*> is greater than threshold:<*>, mtime:<*> in file:<*><*>.txt, will proceed with Du for space computation calculation",316
"mtime not found in file:<*><*>.txt, will proceed with Du for space computation calculation",317
"cachedDfsUsed not found in file:<*><*>.txt, will proceed with Du for space computation calculation",318
Fetched configuration value for key hdfs.namenode.rpc-address,319
Resolved namenode address to namenode<*>:<*>,320
Retrieved namenode IDs: <*>,321
No valid namenode IDs found in configuration,322
Configuration name is present,323
Target is not null,324
Whitespace trimmed from target,325
URI created,326
Port is -<*>,327
"Host is not null, port is valid, scheme is present, and path is null",328
Socket address created for host,329
Address creation completed,330
