BlockId,Label
zk_win_0000000,Normal
zk_win_0000001,Normal
zk_win_0000002,Normal
zk_win_0000003,Normal
zk_win_0000004,Normal
zk_win_0000005,Normal
zk_win_0000006,Normal
zk_win_0000007,Normal
zk_win_0000008,Normal
zk_win_0000009,Normal
zk_win_0000010,Normal
zk_win_0000011,Normal
zk_win_0000012,Normal
zk_win_0000013,Normal
zk_win_0000014,Normal
zk_win_0000015,Normal
zk_win_0000016,Normal
zk_win_0000017,Normal
zk_win_0000018,Normal
zk_win_0000019,Normal
zk_win_0000020,Normal
zk_win_0000021,Normal
zk_win_0000022,Normal
zk_win_0000023,Normal
zk_win_0000024,Normal
zk_win_0000025,Normal
zk_win_0000026,Normal
zk_win_0000027,Normal
zk_win_0000028,Normal
zk_win_0000029,Normal
zk_win_0000030,Normal
zk_win_0000031,Normal
zk_win_0000032,Normal
zk_win_0000033,Normal
zk_win_0000034,Normal
zk_win_0000035,Normal
zk_win_0000036,Normal
zk_win_0000037,Normal
zk_win_0000038,Normal
zk_win_0000039,Normal
zk_win_0000040,Normal
zk_win_0000041,Normal
zk_win_0000042,Normal
zk_win_0000043,Normal
zk_win_0000044,Normal
zk_win_0000045,Normal
zk_win_0000046,Normal
zk_win_0000047,Normal
zk_win_0000048,Normal
zk_win_0000049,Normal
zk_win_0000050,Normal
zk_win_0000051,Normal
zk_win_0000052,Normal
zk_win_0000053,Normal
zk_win_0000054,Normal
zk_win_0000055,Normal
zk_win_0000056,Normal
zk_win_0000057,Normal
zk_win_0000058,Normal
zk_win_0000059,Normal
zk_win_0000060,Normal
zk_win_0000061,Normal
zk_win_0000062,Normal
zk_win_0000063,Normal
zk_win_0000064,Normal
zk_win_0000065,Normal
zk_win_0000066,Normal
zk_win_0000067,Normal
zk_win_0000068,Normal
zk_win_0000069,Normal
zk_win_0000070,Normal
zk_win_0000071,Normal
zk_win_0000072,Normal
zk_win_0000073,Normal
zk_win_0000074,Normal
zk_win_0000075,Normal
zk_win_0000076,Normal
zk_win_0000077,Normal
zk_win_0000078,Normal
zk_win_0000079,Normal
zk_win_0000080,Normal
zk_win_0000081,Normal
zk_win_0000082,Normal
zk_win_0000083,Normal
zk_win_0000084,Normal
zk_win_0000085,Normal
zk_win_0000086,Normal
zk_win_0000087,Normal
zk_win_0000088,Normal
zk_win_0000089,Normal
zk_win_0000090,Normal
zk_win_0000091,Normal
zk_win_0000092,Normal
zk_win_0000093,Normal
zk_win_0000094,Normal
zk_win_0000095,Normal
zk_win_0000096,Normal
zk_win_0000097,Normal
zk_win_0000098,Normal
zk_win_0000099,Normal
zk_win_0000100,Normal
zk_win_0000101,Normal
zk_win_0000102,Anomaly
zk_win_0000103,Anomaly
zk_win_0000104,Anomaly
zk_win_0000105,Anomaly
zk_win_0000106,Anomaly
zk_win_0000107,Anomaly
zk_win_0000108,Anomaly
zk_win_0000109,Anomaly
zk_win_0000110,Anomaly
zk_win_0000111,Anomaly
zk_win_0000112,Anomaly
zk_win_0000113,Anomaly
zk_win_0000114,Anomaly
zk_win_0000115,Anomaly
zk_win_0000116,Anomaly
zk_win_0000117,Normal
zk_win_0000118,Normal
zk_win_0000119,Normal
zk_win_0000120,Normal
zk_win_0000121,Normal
zk_win_0000122,Normal
zk_win_0000123,Normal
zk_win_0000124,Anomaly
zk_win_0000125,Anomaly
zk_win_0000126,Anomaly
zk_win_0000127,Anomaly
zk_win_0000128,Anomaly
zk_win_0000129,Anomaly
zk_win_0000130,Anomaly
zk_win_0000131,Anomaly
zk_win_0000132,Normal
zk_win_0000133,Normal
zk_win_0000134,Normal
zk_win_0000135,Normal
zk_win_0000136,Normal
zk_win_0000137,Normal
zk_win_0000138,Anomaly
zk_win_0000139,Anomaly
zk_win_0000140,Anomaly
zk_win_0000141,Anomaly
zk_win_0000142,Anomaly
zk_win_0000143,Anomaly
zk_win_0000144,Anomaly
zk_win_0000145,Anomaly
zk_win_0000146,Normal
zk_win_0000147,Normal
zk_win_0000148,Normal
zk_win_0000149,Normal
zk_win_0000150,Normal
zk_win_0000151,Normal
zk_win_0000152,Anomaly
zk_win_0000153,Anomaly
zk_win_0000154,Anomaly
zk_win_0000155,Anomaly
zk_win_0000156,Anomaly
zk_win_0000157,Anomaly
zk_win_0000158,Anomaly
zk_win_0000159,Anomaly
zk_win_0000160,Normal
zk_win_0000161,Normal
zk_win_0000162,Normal
zk_win_0000163,Normal
zk_win_0000164,Normal
zk_win_0000165,Normal
zk_win_0000166,Anomaly
zk_win_0000167,Anomaly
zk_win_0000168,Anomaly
zk_win_0000169,Anomaly
zk_win_0000170,Anomaly
zk_win_0000171,Anomaly
